/home/imran/Documents/projects/scraper/venv/bin/python /home/imran/Documents/projects/scraper/mongo/test3.py
574
256 389.70000000000005 [{'name': 'LM2596 DC 4.5~40V to 1.5-37V Adjustable Step-Down Buck Module With Display'}, 6]
257 384.65000000000003 [{'name': 'XL4005 Step-Down Buck CC&CV Power Module 5A'}, 7]
258 384.45000000000005 [{'name': 'Ultrasonic Distance Sensor HC-SR04'}, 11]
259 379.96 [{'name': 'Mean Well Power Supply - 12V 100W 8.5A'}, 1]
260 379.9 [{'name': 'XBee Shield for Arduino'}, 2]
261 371.8 [{'name': 'LiPo Battery 3.7V 600mAh 1C 1Cell'}, 4]
262 369.95 [{'name': 'LiitoKala Lii-402 Multifunctional Battery Charger'}, 1]
263 364.75 [{'name': 'Breadboard PSU Kit'}, 5]
264 359.95 [{'name': 'Adapter Board for Arduino & Raspberry Pi - ARPI600'}, 1]
265 359.9 [{'name': 'Arduino Leonardo'}, 2]
266 359.85 [{'name': 'ESP8266 WeMos D1 Mini WiFi Dev Board'}, 3]
267 359.8 [{'name': 'E3D V6 1.75mm Titanium Heat Break'}, 4]
268 359.55 [{'name': 'Flexible Aluminium Coupling (5mm/8mm)'}, 9]
269 349.95 [{'name': 'eSUN PLA filament - 1.75mm Colour Change (Temperature) Blue'}, 1]
270 349.75 [{'name': 'ESP8266 WiFi UART Serial Module ESP-01'}, 5]
271 349.5 [{'name': 'DHT11 Temperature & Humidity Sensor'}, 10]
272 344.85 [{'name': 'Extruder Body MakerBot II - Left 1.75mm'}, 3]
273 339.8 [{'name': 'Heatsink Compound - 30g Tube'}, 4]
274 329.95 [{'name': 'Solar Power Manager for 12V Lead-Acid Battery V1.0'}, 1]
275 324.75 [{'name': 'Peltier TEC1-12706 40x40mm 12V 6A Thermoelectric Cooler'}, 5]
276 324.34999999999997 [{'name': 'Thermistor 100k 1% NTC Pre-Wired'}, 13]
277 319.95 [{'name': 'The Audio Analyzer V2.0 by DFRobot'}, 1]
278 319.9 [{'name': 'Sunon 12V 5015 Blower Fan – High Speed Vapo-Bearing Fan'}, 2]
279 319.8 [{'name': 'Data Logger Shield'}, 4]
280 299.95 [{'name': 'eSUN PLA+ Filament - 1.75mm Pink'}, 1]
281 299.9 [{'name': 'USB Wired Super Thin Mini Keyboard'}, 2]
282 299.85 [{'name': 'Sunon 12V 5015 Silent Axial Fan - 29dBA Vapo-Bearing Fan'}, 3]
283 299.8 [{'name': 'Arduino Pro Mini 5V/16MHz 328P'}, 4]
284 299.75 [{'name': 'TR8x8 Metric Lead Screw Nut'}, 5]
285 299.70000000000005 [{'name': 'RTC DS3231 Real Time Clock I2C Module'}, 6]
286 299.5 [{'name': '0.5mm MK8 Nozzle for 1.75mm Filament'}, 10]
287 298.34999999999997 [{'name': '0.4mm E3D Nozzle for 1.75mm Filament'}, 13]
288 295.0 [{'name': '0.4mm Micro Swiss E3D Nozzle for 1.75mm - Plated A2 Tool Steel'}, 1]
289 289.95 [{'name': 'eSUN PLA Filament - 3mm Yellow'}, 1]
290 289.5 [{'name': 'Stepper Motor Cable 1M - 4 Wire 6 Pin'}, 10]
291 284.85 [{'name': 'USB Bluetooth Dongle'}, 3]
292 279.95 [{'name': 'RPi Relay Board HAT'}, 1]
293 279.9 [{'name': 'Fotek HS-50H Solid State Relay (SSR) Heatsink'}, 2]
294 279.65000000000003 [{'name': 'USB-B Panel Mount Extension - 30cm'}, 7]
295 269.95 [{'name': 'WM8960 Audio HAT for Raspberry Pi'}, 1]
296 269.85 [{'name': 'Delrin Dual V-Wheel Assembly'}, 3]
297 269.55 [{'name': 'Raspberry Pi Camera Cable - 60cm FFC'}, 9]
298 263.70000000000005 [{'name': 'LCD Display 16x2 White on Blue'}, 6]
299 259.95 [{'name': 'eSUN PLA Filament - 1.75mm Skin 0.5kg'}, 1]
300 259.9 [{'name': 'OLED Display Module Blue 0.96 Inch 128X64 7pin for Arduino'}, 2]
301 259.5 [{'name': 'Solder 0.9mm Flux Core 29 Grams'}, 10]
302 249.9 [{'name': '2 Channel 5V Relay Module 10AMP USB'}, 2]
303 249.75 [{'name': 'Servo Tester Module'}, 5]
304 249.5 [{'name': 'Solderless Breadboard 400TP'}, 10]
305 248.85000000000002 [{'name': 'Magnetometer GY-271 3DOF'}, 3]
306 244.65000000000003 [{'name': 'Croc Clips Cable 10pcs'}, 7]
307 239.95 [{'name': 'NEMA 17 Stepper Motor (0.45Nm , 40mm)'}, 1]
308 239.9 [{'name': 'NRF905 Wireless Module - 433MHz'}, 2]
309 239.85000000000002 [{'name': 'FTDI FT232R USB - TTL Serial Breakout Module Programmer'}, 3]
310 239.8 [{'name': 'Kapton Tape 20mmx33m'}, 4]
311 239.70000000000002 [{'name': 'Vacuum Solder Sucker Pen'}, 6]
312 237.65000000000003 [{'name': 'Breadboard Jumpers'}, 7]
313 234.75 [{'name': 'LCD Display 16x2 Black on Yellow'}, 5]
314 230.65000000000003 [{'name': 'Barometric Pressure Sensor Module BMP180'}, 7]
315 229.95 [{'name': 'TR8X8 Metric Lead Screw Only - 500mm'}, 1]
316 229.9 [{'name': 'Peltier TEC1-12709 40x40mm 12V 9A Thermoelectric Cooler'}, 2]
317 227.70000000000002 [{'name': 'Copper Foil Tape 5mm 30meters'}, 6]
318 224.85000000000002 [{'name': 'USB - RS232 Cable'}, 3]
319 224.75 [{'name': '50mm 12V DC Blower Fan'}, 5]
320 224.54999999999998 [{'name': 'Linear Ball Bearing - LM8UU - 8mm Diameter'}, 9]
321 219.95 [{'name': 'Solar Power Manager Micro (Panel Included)'}, 1]
322 219.9 [{'name': 'XH-M603 12-24V Battery Charge Control Module with Voltage Monitor'}, 2]
323 219.8 [{'name': 'T2.5 Timing Belt 6mm - 3m Lengths'}, 4]
324 209.95 [{'name': 'Gravity: SHT1x Humidity and Temperature Sensor'}, 1]
